hex_id,sale_bottles
8826010251fffff,30
8826010de5fffff,10
882601156dfffff,21
8826015657fffff,3
88260170cbfffff,12
88260170d1fffff,24
88260170dbfffff,15
88260170e1fffff,6
8826017295fffff,12
88260172abfffff,31
88260172b7fffff,9
88260172b9fffff,3
88260172d7fffff,30
8826017465fffff,108
8826017469fffff,12
8826017557fffff,252
88260175c5fffff,11
88260175c7fffff,9
8826017703fffff,108
882601770dfffff,96
8826017763fffff,20
8826017765fffff,25
8826018a21fffff,24
8826019741fffff,54
8826019769fffff,8
882601b511fffff,24
882601b927fffff,15
882601c569fffff,6
88260562d9fffff,6
8826056cb5fffff,18
8826080d95fffff,146
8826081529fffff,24
882608152bfffff,5
8826083189fffff,30
882608554bfffff,24
8826085555fffff,18
8826089095fffff,24
88260890a3fffff,4
88260890bdfffff,12
882608c807fffff,6
882608c823fffff,17
882608c829fffff,12
882608c913fffff,12
882608c917fffff,22
882608c919fffff,36
882608c935fffff,45
882608c93bfffff,64
882608c983fffff,4
882608c99bfffff,6
882608c9bdfffff,8
882608c9d1fffff,138
882608c9d9fffff,6
882608c9e7fffff,74
882608d4b5fffff,12
8826098213fffff,3
882609d659fffff,19
882609d9e5fffff,4
88260c0b07fffff,15
88260c144bfffff,24
88260c16a9fffff,213
88260c16adfffff,42
88260c2f49fffff,24
88260c388dfffff,6
88260c5a3dfffff,4
88260c60e9fffff,12
88260c6c8bfffff,14
88260c855bfffff,12
88260c8807fffff,3
88260c98c7fffff,29
88260c98e5fffff,9
88260cad0dfffff,6
88260cb437fffff,6
88260cb5ddfffff,18
88260cd84bfffff,32
88260d0301fffff,30
88260d030bfffff,19
88260d0315fffff,1
88260d1441fffff,7
88260d2dd7fffff,6
88260d3a95fffff,4
88260d3a9dfffff,18
88260d3ab5fffff,18
88260d594dfffff,6
88260d7819fffff,36
88260d8007fffff,1
88260d800dfffff,12
88260d801dfffff,31
88260d802bfffff,56
88260d8037fffff,31
88260d803bfffff,15
88260d8045fffff,5
88260d8051fffff,34
88260d8059fffff,2
88260d8069fffff,12
88260d80a3fffff,32
88260d80a9fffff,12
88260d80c3fffff,71
88260d80d7fffff,63
88260d80e5fffff,240
88260d80e7fffff,18
88260d815bfffff,33
88260d8185fffff,6
88260d8195fffff,6
88260d819bfffff,58
88260d819dfffff,12
88260d81a1fffff,60
88260d81b7fffff,70
88260d81c3fffff,14
88260d81e1fffff,12
88260d8205fffff,12
88260d8231fffff,91
88260d8237fffff,24
88260d8287fffff,43
88260d8299fffff,50
88260d82a1fffff,6
88260d82d1fffff,21
88260d82d9fffff,2
88260d82e3fffff,37
88260d8301fffff,18
88260d831bfffff,22
88260d8329fffff,9
88260d833dfffff,4
88260d8425fffff,18
88260d8465fffff,12
88260d846dfffff,392
88260d84c9fffff,4
88260d8509fffff,110
88260d851dfffff,38
88260d8547fffff,2
88260d854bfffff,27
88260d8643fffff,82
88260d8667fffff,8
88260d866dfffff,115
88260d870dfffff,24
88260d8715fffff,6
88260d8729fffff,217
88260d8735fffff,5
88260d8741fffff,36
88260d8743fffff,81
88260d8745fffff,492
88260d8769fffff,111
88260d876bfffff,13
88260d88c5fffff,5
88260d8a01fffff,2
88260d8a93fffff,4
88260d8ac1fffff,12
88260d8ad1fffff,73
88260d8ae7fffff,18
88260d8ae9fffff,46
88260d8aedfffff,3
88260d8e83fffff,24
88260d8eb9fffff,12
88260d8f41fffff,30
88260d8f45fffff,108
88260d8f4bfffff,6
88260d9023fffff,8
88260d91c9fffff,36
88260d94b3fffff,5
88260d94b7fffff,3
88260d94cdfffff,42
88260d94d9fffff,76
88260d94ebfffff,30
88260d9509fffff,24
88260d9545fffff,12
88260d954bfffff,4
88260d9551fffff,312
88260d9581fffff,24
88260d9587fffff,1
88260d95a1fffff,42
88260d95b3fffff,24
88260d95bdfffff,3
88260d95e5fffff,6
88260d95edfffff,23
88260d96c7fffff,6
88260d9705fffff,11
88260d9727fffff,15
88260d9737fffff,24
88260da60bfffff,1
88260db75dfffff,15
88260db8c9fffff,18
88260db8e9fffff,30
88260db8edfffff,48
88260dc5d7fffff,12
88260dc69dfffff,23
88260dcb41fffff,6
88260dcc2bfffff,12
88260dd89bfffff,9
88260e26d5fffff,6
88260e95a5fffff,12
88260ea743fffff,18
88260eaee9fffff,4
88260eaeedfffff,12
88262808adfffff,12
88262808e7fffff,48
8826281667fffff,13
8826281ab7fffff,14
882628314dfffff,6
882628315dfffff,60
8826283163fffff,6
8826283165fffff,30
882628316bfffff,2
8826283a51fffff,12
8826283a55fffff,66
8826283b29fffff,81
8826283b2dfffff,42
8826284217fffff,6
8826286587fffff,24
88262865bdfffff,12
88262870d3fffff,30
88262870dbfffff,24
8826287a83fffff,36
882628a363fffff,62
882629089dfffff,4
88262908c9fffff,52
88262908d1fffff,114
88262908dbfffff,12
8826290ab5fffff,12
8826290c0bfffff,60
8826290c49fffff,97
8826290c4bfffff,6
8826290c4dfffff,4
8826290c53fffff,68
8826290c5bfffff,30
8826290c6bfffff,12
8826290d41fffff,36
8826290d47fffff,12
8826290e03fffff,3
8826290e05fffff,4
8826290e15fffff,26
8826290e19fffff,48
8826290e29fffff,54
8826290e2bfffff,43
8826290e33fffff,28
8826290e35fffff,78
8826290e67fffff,12
8826290e69fffff,58
8826290f07fffff,36
8826290f29fffff,57
8826290f65fffff,10
8826291801fffff,26
8826291807fffff,12
8826291847fffff,14
88262920b7fffff,12
8826292485fffff,16
88262938e1fffff,5
882629472bfffff,6
8826296469fffff,2
8826296911fffff,1
8826297831fffff,6
8826297835fffff,18
8826298f09fffff,4
8826299403fffff,37
882629a891fffff,14
882629ad45fffff,6
882629ad6bfffff,12
882629b23dfffff,13
882629b807fffff,9
882629da85fffff,36
882629da87fffff,6
882629daabfffff,2
88262a11a7fffff,12
88262a144dfffff,2
88262a1717fffff,3
88262a192dfffff,12
88262a29a7fffff,24
88262a2eb9fffff,15
88262a5613fffff,36
88262a61a1fffff,620
88262a61a3fffff,48
88262a61e7fffff,6
88262a94ddfffff,12
88262aa219fffff,6
88262aa255fffff,16
88262aa25bfffff,6
88262aa8c9fffff,3
88262ac013fffff,12
88262ac0a7fffff,221
88262ac0edfffff,4
88262ac237fffff,50
88262ad9dbfffff,12
88262b0433fffff,3
88262b05c3fffff,3
88262b1a57fffff,46
88262b2221fffff,8
88262b2351fffff,3
88262b235bfffff,13
88262b2a4dfffff,330
88262b2f41fffff,13
88262b3557fffff,12
88262b36c3fffff,6
88262b3831fffff,18
88262b38bdfffff,1
88262b3983fffff,190
88262b39c9fffff,6
88262b39d3fffff,66
88262b52c5fffff,43
88262b52c7fffff,4
88262b52cbfffff,84
88262b52e9fffff,14
88262b5723fffff,12
88262b66a5fffff,2
88262b6c25fffff,12
88262b6d11fffff,13
88262b6d1dfffff,20
88262b6edbfffff,9
88262b7549fffff,26
88262b7557fffff,33
88262b84e3fffff,12
88262b8ed9fffff,18
88262b9647fffff,5
88262ba259fffff,6
88262ba25dfffff,6
88262baa53fffff,1
88262bc299fffff,6
88262bd6c5fffff,6
88262bd985fffff,12
88262bd987fffff,18
88262d2141fffff,30
88262d2323fffff,84
88262d2333fffff,36
88262d348dfffff,1
88267005ebfffff,12
88267011c3fffff,12
88267011c7fffff,4
88267011d1fffff,62
88267028d9fffff,12
8826702f21fffff,12
8826702f29fffff,71
8826702f65fffff,31
8826703131fffff,17
882670313bfffff,13
8826703ac5fffff,1
882670458bfffff,4
8826705297fffff,18
88267052b5fffff,12
88267052bbfffff,6
88267070c1fffff,12
8826708281fffff,3
882670828dfffff,24
88267085b1fffff,22
882670a12bfffff,2
882670a131fffff,6
882670aa13fffff,12
882670aa17fffff,24
882670aac5fffff,6
882670aac7fffff,15
882670aacdfffff,126
882670d099fffff,30
882670d725fffff,36
882670d72dfffff,27
882672102bfffff,12
8826721061fffff,24
8826721069fffff,19
8826728b13fffff,1
882672964dfffff,31
8826729759fffff,2
882672975dfffff,12
8826729867fffff,12
882672986dfffff,15
8826740737fffff,12
8826740917fffff,36
88267409e9fffff,12
8826740da9fffff,6
8826741981fffff,19
882674198bfffff,18
88267419d7fffff,52
8826742185fffff,24
88267421abfffff,59
88267421bdfffff,19
8826742f05fffff,18
8826742f4bfffff,109
88267430e7fffff,10
88267434edfffff,18
8826743a95fffff,24
8826743a9bfffff,28
8826744025fffff,3
882674420dfffff,28
8826744249fffff,9
882674424bfffff,14
882674424dfffff,24
8826744251fffff,66
882674425dfffff,66
88267444e3fffff,84
88267444e9fffff,12
8826744747fffff,6
8826745053fffff,326
8826745059fffff,4
8826745083fffff,26
8826745091fffff,96
882674509dfffff,39
88267450a7fffff,19
88267450abfffff,5
88267450b1fffff,12
88267450d5fffff,1
8826745285fffff,12
8826745287fffff,17
8826745289fffff,18
882674528dfffff,15
8826745291fffff,144
88267452a9fffff,498
88267452b1fffff,3
88267452bbfffff,39
88267452cbfffff,4
88267452d3fffff,71
88267452dbfffff,4
88267452e3fffff,30
88267452ebfffff,72
8826745503fffff,12
8826745519fffff,17
8826745541fffff,154
8826745547fffff,34
8826745701fffff,48
882674570bfffff,35
8826745725fffff,186
8826745767fffff,42
882674618bfffff,12
8826747025fffff,56
8826747107fffff,28
8826747113fffff,183
882674712dfffff,97
8826747137fffff,20
882674713dfffff,24
88267471c7fffff,63
88267471e5fffff,30
88267471ebfffff,315
8826747a5dfffff,30
882674851dfffff,6
8826748693fffff,18
88267486d3fffff,85
882674963bfffff,4
882674a5bdfffff,29
882674a5c9fffff,30
882674aa07fffff,5
882674b5e7fffff,30
882674c027fffff,39
882674c1cdfffff,1
882674c685fffff,6
882674cdc7fffff,6
882674cdddfffff,36
882674cde7fffff,28
882674d69dfffff,27
882675c361fffff,222
882675d019fffff,129
882675d03bfffff,20
882675d051fffff,10
882675d805fffff,3
882675d811fffff,98
882675d827fffff,27
882675d829fffff,36
882675d8a9fffff,24
882675d8adfffff,24
882675d8cbfffff,48
882675d8d1fffff,1
882675d8e1fffff,4
882675d911fffff,8
882675d91bfffff,6
882675d999fffff,24
882675d99dfffff,63
882675d9b1fffff,4
882675d9bdfffff,7
882675d9c3fffff,48
882675d9c5fffff,12
882675d9c7fffff,6
882675da95fffff,53
882675daa5fffff,342
882675dabdfffff,2
882675dae5fffff,54
882675dae7fffff,40
8826760299fffff,9
88267602d3fffff,9
8826761965fffff,6
8826761a11fffff,44
8826761a17fffff,18
8826761a57fffff,23
8826762db3fffff,73
8826763701fffff,2
8826765723fffff,60
882676573dfffff,43
8826767027fffff,31
882676710bfffff,12
8826767683fffff,56
88267676abfffff,44
88267676adfffff,18
8826767985fffff,14
88267679bdfffff,9
88267682b5fffff,10
882676a689fffff,6
882676b085fffff,12
882676d1abfffff,123
882676d1b7fffff,24
882676d1e3fffff,34
882676d545fffff,16
882676d6dbfffff,70
88275a099bfffff,12
88275a2115fffff,50
88275a2119fffff,50
88275a211bfffff,11
88275a212bfffff,1
88275a212dfffff,117
88275a2131fffff,12
88275a2135fffff,4
88275a2153fffff,70
88275a2335fffff,12
88275a2aa1fffff,24
88275a408bfffff,7
88275a40ddfffff,6
88275a5009fffff,9
88275a500bfffff,4
88275a5a4dfffff,12
88275a609bfffff,3
88275a654dfffff,4
88275a6913fffff,66
88275a69edfffff,2
88275adacdfffff,8
88275b5ad5fffff,18
88275b6325fffff,151
88275b7883fffff,50
88275b7891fffff,11
88275b78b7fffff,48
88275b78cbfffff,12
88275b7ab3fffff,30
